nazov,hodiny
10A,1876
10B,695
10C,5115
10D,20166
10E,13891
41A,11683
42A,3091
43A,12478
44A,7147
41B,7028
42B,21538
43B,7588
44B,5500
41C,5961
42C,12228
43C,2840
44C,10345
41D,23706
42D,22942
43D,24153
44D,12242
41E,8137
42E,2950
43E,4379
44E,2391
80A,19291
80B,9926
80C,2231
80D,403
80E,24723
80F,6358
90A,11225
90B,24815
90C,17289
90D,11688
90E,24621
90F,31788
90G,31308
90H,4042
140A,8904
140B,1929
140C,3461
140D,294
